txn_id,datetime,from_account,to_account,amount,channel,remark,txn_type,risk_flag
TXN-AML-0001,2026-01-01 12:00:00,ACC001,ACC002,5151.47,WEB,房租,transfer,normal
TXN-AML-0002,2026-01-01 10:00:00,ACC002,ACC003,1863.36,WEB,餐饮,transfer,normal
TXN-AML-0003,2026-01-01 10:00:00,ACC003,ACC004,4764.89,WEB,购物,transfer,normal
TXN-AML-0004,2026-01-01 12:00:00,ACC004,ACC005,1827.24,WEB,餐饮,transfer,normal
TXN-AML-0005,2026-01-01 16:00:00,ACC005,ACC006,5756.55,ATM,转账,transfer,normal
TXN-AML-0006,2026-01-02 20:00:00,ACC006,ACC007,4755.20,WEB,生活费,transfer,normal
TXN-AML-0007,2026-01-02 12:00:00,ACC001,ACC007,3438.65,POS,生活费,transfer,normal
TXN-AML-0008,2026-01-02 10:00:00,ACC002,ACC009,7661.98,POS,水电费,transfer,normal
TXN-AML-0009,2026-01-02 18:00:00,ACC003,ACC011,3101.43,POS,工资,transfer,normal
TXN-AML-0010,2026-01-02 17:00:00,ACC004,ACC012,2189.71,WEB,医疗,transfer,normal
TXN-AML-0011,2026-01-03 17:00:00,ACC005,ACC011,1086.13,ATM,水电费,transfer,normal
TXN-AML-0012,2026-01-03 12:00:00,ACC012,ACC001,2416.11,POS,交通,transfer,normal
TXN-AML-0013,2026-01-03 13:00:00,ACC001,ACC002,5666.12,WEB,转账,transfer,normal
TXN-AML-0014,2026-01-03 15:00:00,ACC002,ACC003,7883.25,APP,水电费,transfer,normal
TXN-AML-0015,2026-01-03 14:00:00,ACC003,ACC004,2295.99,POS,生活费,transfer,normal
TXN-AML-0016,2026-01-04 18:00:00,ACC004,ACC005,2906.64,POS,水电费,transfer,normal
TXN-AML-0017,2026-01-04 16:00:00,ACC005,ACC006,5116.33,APP,生活费,transfer,normal
TXN-AML-0018,2026-01-04 09:00:00,ACC006,ACC007,3097.70,APP,工资,transfer,normal
TXN-AML-0019,2026-01-04 15:00:00,ACC001,ACC007,1909.48,WEB,工资,transfer,normal
TXN-AML-0020,2026-01-04 20:00:00,ACC002,ACC009,2215.15,APP,交通,transfer,normal
